k,NADG,EDG,ODG,CDG,Best
2,0.95,0.4974190955,0.8106736378,0.51,1
3,1.505714376,0.8412406993,1.340374668,0.6,1.584962501
4,1.9,1.092067674,1.715674938,0.81,2
5,2.20583169,1.270478335,2.023756426,0.939279748,2.321928095
6,2.455714376,1.444563279,2.277259769,1.055395649,2.584962501
7,2.666987176,1.561655504,2.481266658,1.247328652,2.807354922
8,2.85,1.677181286,2.655028431,1.3300241,3
9,3.011404052,1.77961772,2.812339261,1.439681852,3.169925001
10,3.15583169,1.861592724,2.952939012,1.540756059,3.321928095
11,3.286460038,1.950551131,3.088151616,1.640310137,3.459431619
12,3.405714376,2.031644498,3.183113474,1.726143618,3.584962501
13,3.515417732,2.09349478,3.31826142,1.770588937,3.700439718
14,3.61691059,2.159488414,3.416366221,1.832887622,3.807354922
15,3.711546066,2.217983357,3.502764337,1.923440744,3.906890596
16,3.799896191,2.273032719,3.586472431,1.958848124,4
17,3.882730179,2.32062566,3.684679225,1.997324095,4.087462841
18,3.961299637,2.37410738,3.758519103,2.074191711,4.169925001
19,4.035477184,2.426237277,3.82848999,2.092377434,4.247927513
20,4.105773367,2.468273261,3.899123766,2.151847942,4.321928095
21,4.172445151,2.509315143,3.967284855,2.187620925,4.392317423
22,4.236219217,2.546809107,4.031008498,2.248365481,4.459431619
23,4.296717924,2.585894844,4.102666963,2.279899104,4.523561956
24,4.354444866,2.617160134,4.154433609,2.310044181,4.584962501
25,4.409973987,2.66029929,4.211897504,2.32419879,4.64385619
26,4.46276747,2.693156758,4.2612979,2.378591285,4.700439718
27,4.515481168,2.721817169,4.3085824,2.392264903,4.754887502
28,4.564244287,2.750134533,4.363309027,2.437793695,4.807354922
29,4.612195599,2.786472573,4.413303787,2.461076332,4.857980995
30,4.659453452,2.813694201,4.456192191,2.530789657,4.906890596
31,4.702412427,2.847136198,4.510645494,2.51526995,4.95419631
32,4.746809328,2.872840346,4.542082417,2.567562677,5
33,4.788983722,2.892397963,4.592935021,2.571395047,5.044394119
34,4.828427932,2.92476648,4.61605574,2.597466069,5.087462841
35,4.867283291,2.950450605,4.663763063,2.646734047,5.129283017
36,4.907219328,2.972757099,4.7036631,2.648424851,5.169925001
37,4.941756397,2.998674766,4.744265239,2.663467201,5.209453366
38,4.980283762,3.021492057,4.783082251,2.701515727,5.247927513
39,5.014371258,3.042540531,4.819783412,2.740378812,5.285402219
40,5.049126493,3.062357166,4.854062539,2.768834236,5.321928095
